dimension,disease_inertia,mechanism_inertia
Dim1,0.4320422949631208,0.39522672187143515
Dim2,0.255125482595497,0.24038501047795177
Dim3,0.14855327494746032,0.1496382796152994
Dim4,0.11083427196839475,0.11241462057537367
Dim5,0.035776337185490455,0.0648210341553152
Dim6,0.01608574899383992,0.022858741688016302
Dim7,0.0015825893461968157,0.01465559161660854
Dim8,5.684598200497665e-33,7.056332860112472e-31
