Site,disease_pc1,disease_pc2,mechanism_pc1,mechanism_pc2
BL25,-0.5473649222097005,0.12313161940823938,-0.20065409183633942,0.05874093513706262
GV4,0.5698953028326991,0.27570548720141747,0.35795136135703376,0.06192476891118353
ST25,-0.36494304263773736,0.13266264660780963,-0.11664745530702564,0.10900442952992351
CV12,-0.015928174281900662,0.0635065350998178,0.017149134263236842,0.03577815226079889
PC6,0.1365074715045321,-0.19519327613499843,0.0058526530833124925,-0.06260744477805127
LI4,0.21836516841499187,-0.056968382955742886,0.00302848051901618,-0.12951600527815219
SP6,0.008073068019089727,-0.22030268741346556,-0.030752289875951012,-0.029690734329671942
ST36,-0.004604871641974556,-0.1225419418130775,-0.03592779220328325,-0.04363410145309308
