Site,disease_pc1,disease_pc2,mechanism_pc1,mechanism_pc2
BL25,0.49943391593562264,0.06500737836810369,0.16823093158477842,-0.05340963346622449
ST25,0.32479139579472516,9.316576774620409e-05,0.12424188753142103,0.047214442361700734
CV12,-0.0313838771076774,-0.10027168482248497,-0.0462791960588311,0.14203898049850472
PC6,-0.2588499550126453,0.31359050897757407,-0.0718452938291259,-0.040572454063630914
LI4,-0.27913565260077866,-0.04852602752266593,-0.11700102868019562,-0.04584359399237326
SP6,-0.15604416896223994,-0.16192438948443427,-0.02534090771365455,-0.02521953914233473
ST36,-0.0988116580470067,-0.06796895128383895,-0.032006392834392335,-0.024208202195641904
