Site,Analgesic/Opioid,Autonomic/Neuroendocrine,Autophagy/Mitophagy,Cell Survival/Apoptosis,Gut-Brain/Enteric,Inflammatory/Immune,Ion Channel/Pain Transduction,Metabolic Pathway,Neural Circuit/Connectivity,Neurochemical Signaling,Neuroprotective,Oxidative Stress
BL25,-2.440674566211292,-1.2690388782583772,-3.9848586229513243,-2.7402994193309027,1.1698916512052029,-1.7329805675661496,-3.2221566486591247,-3.168254641535568,-3.1073216547462983,-2.690077750313509,-1.0874625464785321,-2.6589218510728716
GV4,-2.1612663089937056,-0.6046628952997767,8.287462214645865,0.5417875145428879,-2.7154221744771396,1.9415422242803806,-3.1914017813113023,-3.459664203221454,-3.1440467607653013,-2.7011197368919677,6.653139216646426,-2.6237358922572005
ST25,-3.9575618692321344,-1.0389592637909975,-4.486546171903083,-1.6826207800595665,12.772517123675204,-2.8117081499779943,-4.109383730929585,-2.9560431712206054,-1.1264142079938728,-1.9047588362196393,-2.311650499792338,-3.644831392084663
CV12,-2.0307605354186986,-3.459979424606988,-4.452770635182555,-3.5536977631274267,-3.025669840715342,-1.7455348088638545,-2.199332983864691,5.765302374828045,-3.577218119395503,-1.5521751832176247,-2.6304779806920777,-3.585614860239314
PC6,-2.9685560415129433,-3.94188680571679,-5.238049269859516,-1.6527254423636728,-0.09742452030069709,-3.493492529124079,0.3644318530670312,-4.671650246691387,-1.922827938230753,-4.147316390916539,-4.0699553924429095,-0.36369131070728233
LI4,-3.0288668416201485,6.0722281866629775,-4.928378280136174,-3.1086107694613103,-3.527616170947422,-1.4907423197616136,-4.264823421011344,-4.309307631807167,-2.3159919270443035,-3.095738265601175,-1.5890933207241191,-3.6621520036757294
SP6,-0.8256194103238058,-3.1740951198497314,-5.56764085676682,-4.19499421510777,-4.568437238329562,-3.2111031298923596,-4.154260183679755,-3.177056646445516,-2.1056407544541327,-4.58949754657692,-3.8300365784052075,-4.580470971590748
ST36,-5.7503484405264755,-5.438739624340958,-6.050277595774773,-5.443915569090847,-5.772468098794253,-4.377450590183773,-5.941028985461382,-5.972487761180963,-4.888868070734645,-5.572287052709846,-5.403627737298273,-5.25592581340399
