Site,Analgesic/Opioid,Autonomic/Neuroendocrine,Autophagy/Mitophagy,Cell Survival/Apoptosis,Gut-Brain/Enteric,Inflammatory/Immune,Ion Channel/Pain Transduction,Metabolic Pathway,Neural Circuit/Connectivity,Neurochemical Signaling,Neuroprotective,Oxidative Stress
BL25,0.0,0.18181818181818182,0.0,0.045454545454545456,0.18181818181818182,0.36363636363636365,0.0,0.0,0.045454545454545456,0.09090909090909091,0.0,0.09090909090909091
GV4,0.0,0.0,0.1724137931034483,0.20689655172413793,0.0,0.10344827586206896,0.0,0.034482758620689655,0.0,0.034482758620689655,0.3448275862068966,0.10344827586206896
ST25,0.056818181818181816,0.1590909090909091,0.022727272727272728,0.03409090909090909,0.19318181818181818,0.2727272727272727,0.045454545454545456,0.06818181818181818,0.0,0.03409090909090909,0.056818181818181816,0.056818181818181816
CV12,0.015384615384615385,0.09230769230769231,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,0.015384615384615385,0.13846153846153847,0.13846153846153847,0.06153846153846154
PC6,0.03592814371257485,0.08383233532934131,0.017964071856287425,0.12574850299401197,0.011976047904191617,0.2994011976047904,0.08383233532934131,0.03592814371257485,0.011976047904191617,0.0718562874251497,0.09580838323353294,0.12574850299401197
LI4,0.09009009009009009,0.009009009009009009,0.018018018018018018,0.05405405405405406,0.02702702702702703,0.36936936936936937,0.02702702702702703,0.04504504504504504,0.009009009009009009,0.10810810810810811,0.15315315315315314,0.09009009009009009
SP6,0.09926470588235294,0.1213235294117647,0.01838235294117647,0.09558823529411764,0.04044117647058824,0.2757352941176471,0.025735294117647058,0.022058823529411766,0.0661764705882353,0.08088235294117647,0.08455882352941177,0.06985294117647059
ST36,0.0625,0.09926470588235294,0.012867647058823529,0.08088235294117647,0.04779411764705882,0.3134191176470588,0.042279411764705885,0.03952205882352941,0.04871323529411765,0.08272058823529412,0.10018382352941177,0.06985294117647059
