Site,BL25,GV4,ST25,CV12,PC6,LI4,SP6,ST36
BL25,0.0,0.9934432455280651,0.07927663700512655,0.5402824713092103,0.8495795101026185,0.8606393035027189,0.7163988276040323,0.49719902653701187
GV4,0.9934432455280651,0.0,0.7905390100391247,0.37002071292732275,0.4055563039247191,0.10212548299669888,0.5212860224009159,0.38478940946045737
ST25,0.07927663700512655,0.7905390100391247,0.0,0.2530155131065368,0.7286982273266338,0.7047727978242376,0.5745208469072458,0.42366758692108863
CV12,0.5402824713092103,0.37002071292732275,0.2530155131065368,0.0,0.530602172574373,0.3421064689225495,0.32689377944404496,0.3257562876970145
PC6,0.8495795101026185,0.4055563039247191,0.7286982273266338,0.530602172574373,0.0,0.3575685704018685,0.596340141122188,0.4536163270377467
LI4,0.8606393035027189,0.10212548299669888,0.7047727978242376,0.3421064689225495,0.3575685704018685,0.0,0.2725925160342004,0.1670526759813451
SP6,0.7163988276040323,0.5212860224009159,0.5745208469072458,0.32689377944404496,0.596340141122188,0.2725925160342004,0.0,0.1230465132029247
ST36,0.49719902653701187,0.38478940946045737,0.42366758692108863,0.3257562876970145,0.4536163270377467,0.1670526759813451,0.1230465132029247,0.0
