Site,BL25,GV4,ST25,CV12,PC6,LI4,SP6,ST36
BL25,0.0,0.7256585835873417,0.06459607209375617,0.21691411078929645,0.17735107912427173,0.21669835425819395,0.12599525243728338,0.11007968462776818
GV4,0.7256585835873417,0.0,0.628193245083297,0.4007293012106308,0.3943598218400107,0.41422222072961157,0.4653665048839437,0.45531969687644436
ST25,0.06459607209375617,0.628193245083297,0.0,0.17104378423371303,0.1889656015132909,0.2170247747054952,0.1361815630927803,0.11887729882358611
CV12,0.21691411078929645,0.4007293012106308,0.17104378423371303,0.0,0.14759421231834102,0.13665525431837378,0.1407033400613278,0.10620749566071264
PC6,0.17735107912427173,0.3943598218400107,0.1889656015132909,0.14759421231834102,0.0,0.07378403221068675,0.05910273734014104,0.03578389127240167
LI4,0.21669835425819395,0.41422222072961157,0.2170247747054952,0.13665525431837378,0.07378403221068675,0.0,0.08528012002920615,0.04641961297401731
SP6,0.12599525243728338,0.4653665048839437,0.1361815630927803,0.1407033400613278,0.05910273734014104,0.08528012002920615,0.0,0.01552327216229521
ST36,0.11007968462776818,0.45531969687644436,0.11887729882358611,0.10620749566071264,0.03578389127240167,0.04641961297401731,0.01552327216229521,0.0
