Site,Addiction,Cancer/Oncology,Cardiovascular,Dermatological,Gastrointestinal,Immune/Inflammatory,Metabolic/Endocrine,Musculoskeletal,Neurological,Pain,Psychiatric,Renal/Urological,Reproductive,Respiratory
BL25,0.0,0.0,0.0,0.0,0.6818181818181818,0.0,0.045454545454545456,0.09090909090909091,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
GV4,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.8787878787878788,0.0,0.030303030303030304,0.0,0.0,0.0
ST25,0.0,0.0,0.011235955056179775,0.0,0.5280898876404494,0.02247191011235955,0.2247191011235955,0.0,0.10112359550561797,0.10112359550561797,0.011235955056179775,0.0,0.0,0.0
CV12,0.0,0.0,0.014705882352941176,0.0,0.20588235294117646,0.014705882352941176,0.35294117647058826,0.0,0.27941176470588236,0.04411764705882353,0.058823529411764705,0.0,0.029411764705882353,0.0
PC6,0.03888888888888889,0.0,0.39444444444444443,0.0,0.06666666666666667,0.022222222222222223,0.027777777777777776,0.0,0.3,0.044444444444444446,0.07777777777777778,0.011111111111111112,0.011111111111111112,0.005555555555555556
LI4,0.008771929824561403,0.0,0.02631578947368421,0.06140350877192982,0.017543859649122806,0.05263157894736842,0.06140350877192982,0.06140350877192982,0.42105263157894735,0.14912280701754385,0.11403508771929824,0.0,0.008771929824561403,0.017543859649122806
SP6,0.054982817869415807,0.003436426116838488,0.003436426116838488,0.006872852233676976,0.030927835051546393,0.037800687285223365,0.16838487972508592,0.03436426116838488,0.1718213058419244,0.26804123711340205,0.07903780068728522,0.010309278350515464,0.12714776632302405,0.003436426116838488
ST36,0.02575107296137339,0.006008583690987125,0.034334763948497854,0.008583690987124463,0.1278969957081545,0.048927038626609444,0.08068669527896996,0.0703862660944206,0.24377682403433476,0.271244635193133,0.027467811158798282,0.005150214592274678,0.020600858369098713,0.029184549356223177
