Site,Addiction,Cancer/Oncology,Cardiovascular,Dermatological,Gastrointestinal,Immune/Inflammatory,Metabolic/Endocrine,Musculoskeletal,Neurological,Pain,Psychiatric,Renal/Urological,Reproductive,Respiratory
BL25,-3.6377568113550134,-4.393881322538238,-2.5720690000844466,-4.214700862111343,24.220054332123237,-3.1854077167440544,-2.4012594319674143,-2.2905755873364377,4.661232248528083,-2.158003533547299,-3.0670720077358715,-4.345114156632341,-3.437508254995462,-3.9028046221746826
GV4,-3.7587551241973403,-4.892941890972177,-2.160223407291491,-4.624171200331833,1.3461489182720447,-3.0802314822809023,-2.9556837807539926,-2.571312297967463,39.0492804221673,6.846161479688437,-3.5346484191051895,-4.819791142113331,-3.4583822896580134,-4.156326840426844
ST25,-2.908368647307948,-5.967235988003721,-1.093870096769974,-5.242369579913098,56.70842824734905,-3.938707734708351,4.731898591937335,0.2941286719180844,5.631997887187957,2.787894798718606,-2.662949026429563,-5.7699506350207725,-2.0982722147624915,-3.980607518351156
CV12,-3.3705812822447143,-5.707693407720137,-2.1850595982034973,-5.153862893673368,-0.6144108524767127,-3.5224400640589755,18.98790308311569,-0.9237293978922405,-2.6865587182927224,8.303828761781034,-3.592103421980943,-5.556958531283726,-4.2164849715800585,-4.189819970232783
PC6,-4.225029634292158,-6.438822521929373,120.85027687746489,-4.972800572982045,0.5338881803065222,-3.7356200331633285,5.9671450611886465,6.224611621732705,-1.9760321107521461,27.67753816722163,-1.6028610715521483,-5.074354422895424,-2.900922583821177,-4.250809772230838
LI4,-3.9453409069021665,-6.173508586347087,-2.671548623818942,6.227907399246459,8.304555400095179,-3.999344006723539,-2.336196688812626,-3.987840914608348,8.142839354815377,-0.8336262207266408,2.7975581930236415,-5.920805999380163,-3.206298120977638,-4.957976247662953
SP6,-0.2877971439840078,-6.727164042821864,13.417270033576521,-6.116933723056703,18.629025605832187,-5.085039838281759,3.9975008121122317,-3.79757010261202,3.473283601941433,-1.450304244422988,0.050959944819756894,-5.372495131096033,29.329270752278713,-2.5018077787458535
ST36,-6.322270484977117,-6.772207304004373,5.006186076333121,-7.084529283389585,-5.332951892355101,-4.8061738864469525,-0.598245375689988,-0.18533551407157903,-4.735058995279781,6.444829062031786,0.46701588519398496,-7.520558871351623,-1.496466916456623,-2.6398846795949313
