Site,BL25,GV4,ST25,CV12,PC6,LI4,SP6,ST36
BL25,0.0,12.041594578792296,40.32369030731191,53.48831648126533,69.4334213473598,78.49203781276162,40.4103947023535,33.25657829663178
GV4,12.041594578792296,0.0,39.61060464067672,48.41487374764082,62.88083968904996,72.89718787443039,50.635955604688654,43.69210454990696
ST25,40.32369030731191,39.61060464067672,0.0,20.615528128088304,49.749371855331,54.08326913195984,50.724747411889595,42.42640687119285
CV12,53.48831648126533,48.41487374764082,20.615528128088304,0.0,35.35533905932738,39.370039370059054,70.90839160494335,62.64982043070834
PC6,69.4334213473598,62.88083968904996,49.749371855331,35.35533905932738,0.0,12.24744871391589,96.01041610158765,85.2936105461599
LI4,78.49203781276162,72.89718787443039,54.08326913195984,39.370039370059054,12.24744871391589,0.0,101.47906187977893,90.69178573608527
SP6,40.4103947023535,50.635955604688654,50.724747411889595,70.90839160494335,96.01041610158765,101.47906187977893,0.0,12.36931687685298
ST36,33.25657829663178,43.69210454990696,42.42640687119285,62.64982043070834,85.2936105461599,90.69178573608527,12.36931687685298,0.0
