Site,x,y,z,spinal_segment,spinal_level_numeric,reference
BL25,6.0,155.0,35.0,L4,25.0,2024 standard; Han 2011 (PMC3042615)
GV4,0.0,145.0,38.0,L2,23.0,2024 standard; Wang 2016 (PMC5270441)
ST25,5.0,135.0,0.0,T10-T11,18.5,PMC7306073; PMC9731770
CV12,0.0,115.0,0.0,T7-T8,15.5,2024 standard; Wang 2013 (PMC3857851)
PC6,20.0,90.0,15.0,C8-T1,8.5,2024 standard; PMC6843597
LI4,25.0,85.0,5.0,C7-C8,7.5,2024 standard; Li 2019 (PMC6624843)
SP6,8.0,185.0,8.0,L4-S1,26.5,2024 standard; Senna-Fernandes 2011
ST36,15.0,175.0,10.0,L4-L5,25.5,2024 standard; multiple
