level_from,level_to,k_from,k_to,mantel_r,p_value
1,2,5,7,0.9381499726327313,9.999000099990002e-05
2,3,7,9,0.9983579638752054,9.999000099990002e-05
3,4,9,11,0.9999999999999998,9.999000099990002e-05
4,5,11,13,0.9999999999999998,9.999000099990002e-05
5,6,13,14,0.9994526546250683,9.999000099990002e-05
6,7,14,15,0.9999999999999998,9.999000099990002e-05
