level_from,level_to,k_from,k_to,mantel_r,p_value
1,2,4,6,0.8341543513957307,0.0026997300269973002
2,3,6,8,0.8784893267651889,9.999000099990002e-05
3,4,8,9,0.9934318555008209,9.999000099990002e-05
4,5,9,10,0.9967159277504104,9.999000099990002e-05
5,6,10,11,0.9994526546250683,9.999000099990002e-05
6,7,11,12,0.9688013136288999,9.999000099990002e-05
7,8,12,13,0.9983579638752054,9.999000099990002e-05
