excluded_site,mantel_r,p_value,n_sites_remaining
BL25,0.3116883116883117,0.16183816183816183,7
GV4,0.6012987012987013,0.012987012987012988,7
ST25,0.348051948051948,0.17182817182817184,7
CV12,0.47922077922077916,0.013986013986013986,7
PC6,0.5506493506493506,0.007992007992007992,7
LI4,0.40129870129870127,0.04595404595404595,7
SP6,0.42727272727272725,0.04095904095904096,7
ST36,0.32987012987012987,0.1028971028971029,7
