iteration,mantel_r
1,0.3700054734537493
2,0.3765736179529283
3,0.2255062944718117
4,0.30925013683634367
5,0.4055829228243021
6,0.38478379857690204
7,0.3229337712096333
8,0.39792008757526
9,0.3875205254515599
10,0.4351395730706075
11,0.3886152162014231
12,0.2282430213464696
13,0.5495347564313082
14,0.2846195949644226
15,0.5796387520525451
16,0.2747673782156541
17,0.5194307608100711
18,0.1620142309797482
19,0.4395183360700602
20,0.11877394636015325
21,0.3568691844553913
22,0.5276409414340448
23,0.43130815544608647
24,0.4247400109469075
25,0.37438423645320196
26,0.2917350848385331
27,0.3524904214559387
28,0.3371647509578544
29,0.41215106732348106
30,0.42692939244663375
31,0.39299397920087575
32,0.4652435686918446
33,0.3962780514504652
34,0.4258347016967706
35,0.4915161466885605
36,0.32567049808429116
37,0.4926108374384236
38,0.22441160372194854
39,0.4258347016967706
40,0.475095785440613
41,0.4428024083196497
42,0.43076081007115485
43,0.4789272030651341
44,0.30268199233716475
45,0.3229337712096333
46,0.40996168582375475
47,0.2846195949644226
48,0.4247400109469075
49,0.3262178434592227
50,0.43076081007115485
51,0.18609742747673783
52,0.5270935960591133
53,0.4466338259441708
54,0.4176245210727969
55,0.4220032840722496
56,0.24521072796934865
57,0.3021346469622332
58,0.3399014778325123
59,0.3694581280788177
60,0.3240284619594964
61,0.36398467432950193
62,0.18883415435139572
63,0.5982484948002189
64,0.5478927203065133
65,0.45539135194307606
66,0.18555008210180626
67,0.17843459222769564
68,0.31143951833607003
69,0.38095238095238093
70,0.29720853858784896
71,0.29775588396278047
72,0.33497536945812806
73,0.13081554460864805
74,0.47071702244116037
75,0.4367816091954023
76,0.48549534756431306
77,0.36453201970443344
78,0.552271483305966
79,0.428024083196497
80,0.25396825396825395
81,0.40229885057471265
82,0.24356869184455393
83,0.5369458128078817
84,0.46688560481663927
85,0.3765736179529283
86,0.3524904214559387
87,0.32567049808429116
88,0.3470169677066229
89,0.4050355774493705
90,0.5177887246852765
91,0.3519430760810071
92,0.47837985769020247
93,0.3568691844553913
94,0.38149972632731255
95,0.46305418719211827
96,0.4663382594417077
97,0.2868089764641488
98,0.2583470169677066
99,0.32567049808429116
100,0.21893814997263272
101,0.23918992884510124
102,0.5232621784345922
103,0.6239737274220033
104,0.21620142309797483
105,0.12096332785987958
106,0.46469622331691296
107,0.23973727422003283
108,0.367816091954023
109,0.37547892720306514
110,0.42911877394636017
111,0.3333333333333333
112,0.3448275862068966
113,0.4969896004378763
114,0.3234811165845649
115,0.5977011494252873
116,0.23371647509578544
117,0.2895457033388068
118,0.38314176245210724
119,0.30487137383689106
120,0.2692939244663382
121,0.48002189381499727
122,0.4761904761904762
123,0.4488232074438971
124,0.41981390257252327
125,0.6037219485495348
126,0.26874657909140665
127,0.4417077175697865
128,0.2764094143404488
129,0.4247400109469075
130,0.3305966064586754
131,0.39518336070060206
132,0.4176245210727969
133,0.47947454844006565
134,0.4904214559386973
135,0.1718664477285167
136,0.3579638752052545
137,0.23097974822112752
138,0.5544608648056923
139,0.2545155993431856
140,0.46195949644225504
141,0.25068418171866447
142,0.42966611932129173
143,0.34646962233169126
144,0.2621784345922277
145,0.3393541324575807
146,0.2769567597153804
147,0.2769567597153804
148,0.5106732348111659
149,0.4247400109469075
150,0.4433497536945813
151,0.42692939244663375
152,0.3273125342090859
153,0.4559386973180077
154,0.32183908045977005
155,0.36453201970443344
156,0.39354132457580737
157,0.13081554460864805
158,0.40996168582375475
159,0.3470169677066229
160,0.35467980295566504
161,0.43459222769567596
162,0.4444444444444444
163,0.25123152709359603
164,0.2222222222222222
165,0.49315818281335516
166,0.4001094690749863
167,0.36672140120415986
168,0.4006568144499179
169,0.3853311439518336
170,0.3355227148330596
171,0.3711001642036125
172,0.2753147235905857
173,0.4778325123152709
174,0.26327312534209085
175,0.3223864258347017
176,0.20251778872468526
177,0.441160372194855
178,0.3842364532019705
179,0.30487137383689106
180,0.5347564313081554
181,0.3240284619594964
182,0.24794745484400657
183,0.2205801860974275
184,0.38697318007662834
185,0.5396825396825397
186,0.31089217296113847
187,0.2922824302134647
188,0.307608100711549
189,0.20580186097427478
190,0.31198686371100165
191,0.3749315818281335
192,0.29392446633825947
193,0.26053639846743293
194,0.28407224958949095
195,0.36234263820470713
196,0.3333333333333333
197,0.4904214559386973
198,0.4482758620689655
199,0.21674876847290642
200,0.4652435686918446
201,0.2348111658456486
202,0.2731253420908593
203,0.4876847290640395
204,0.13738368910782706
205,0.5769020251778874
206,0.3579638752052545
207,0.4778325123152709
208,0.26108374384236455
209,0.3130815544608648
210,0.428024083196497
211,0.2129173508483853
212,0.5747126436781609
213,0.26327312534209085
214,0.1981390257252326
215,0.5867542419266557
216,0.38040503557744937
217,0.3563218390804598
218,0.2430213464696223
219,0.40667761357416526
220,0.4570333880678708
221,0.31746031746031744
222,0.1986863711001642
223,0.37164750957854403
224,0.48713738368910786
225,0.3278598795840175
226,0.4663382594417077
227,0.438423645320197
228,0.3240284619594964
229,0.4789272030651341
230,0.32183908045977005
231,0.3563218390804598
232,0.4548440065681445
233,0.4143404488232074
234,0.37931034482758613
235,0.40831964969896006
236,0.5194307608100711
237,0.4143404488232074
238,0.29994526546250677
239,0.35851122058018614
240,0.14066776135741652
241,0.41598248494800216
242,0.3360700602079913
243,0.30487137383689106
244,0.37931034482758613
245,0.47181171319102355
246,0.4389709906951286
247,0.31362889983579634
248,0.3995621237000547
249,0.41050903119868637
250,0.5287356321839081
251,0.24904214559386975
252,0.6694033935413245
253,0.3103448275862069
254,0.3842364532019705
255,0.33388067870826493
256,0.36672140120415986
257,0.31800766283524906
258,0.4258347016967706
259,0.11713191023535852
260,0.1510673234811166
261,0.25998905309250137
262,0.7307060755336617
263,0.4236453201970443
264,0.44937055281882865
265,0.40886699507389157
266,0.3234811165845649
267,0.22112753147235906
268,0.4050355774493705
269,0.2862616310892173
270,0.3765736179529283
271,0.42255062944718114
272,0.47454844006568137
273,0.4258347016967706
274,0.23918992884510124
275,0.20032840722495895
276,0.428024083196497
277,0.22660098522167485
278,0.4006568144499179
279,0.3130815544608648
280,0.42090859332238645
281,0.5183360700602079
282,0.33278598795840175
283,0.47454844006568137
284,0.3771209633278598
285,0.15435139573070608
286,0.3158182813355227
287,0.5145046524356869
288,0.3388067870826491
289,0.3344280240831965
290,0.36179529282977557
291,0.3305966064586754
292,0.42638204707170224
293,0.34099616858237547
294,0.4537493158182813
295,0.21893814997263272
296,0.3918992884510125
297,0.09578544061302681
298,0.29556650246305416
299,0.3251231527093596
300,0.2747673782156541
301,0.41981390257252327
302,0.2260536398467433
303,0.5041050903119868
304,0.2676518883415435
305,0.5303776683087027
306,0.2846195949644226
307,0.5019157088122606
308,0.3771209633278598
309,0.5276409414340448
310,0.2802408319649699
311,0.3962780514504652
312,0.2627257799671593
313,0.28133552271483303
314,0.4696223316912972
315,0.4351395730706075
316,0.4247400109469075
317,0.39025725232621783
318,0.3442802408319649
319,0.5358511220580187
320,0.3672687465790914
321,0.3940886699507389
322,0.348111658456486
323,0.337712096332786
324,0.35358511220580185
325,0.4712643678160919
326,0.3749315818281335
327,0.4187192118226601
328,0.2523262178434592
329,0.26108374384236455
330,0.4340448823207444
331,0.2753147235905857
332,0.26108374384236455
333,0.4012041598248494
334,0.36015325670498083
335,0.4176245210727969
336,0.4247400109469075
337,0.24137931034482757
338,0.25506294471811713
339,0.4389709906951286
340,0.29885057471264365
341,0.36398467432950193
342,0.36398467432950193
343,0.42966611932129173
344,0.4761904761904762
345,0.3355227148330596
346,0.367816091954023
347,0.36453201970443344
348,0.3574165298303229
349,0.32676518883415434
350,0.49589490968801314
351,0.5779967159277504
352,0.4192665571975917
353,0.12643678160919541
354,0.2868089764641488
355,0.4143404488232074
356,0.4247400109469075
357,0.22112753147235906
358,0.458128078817734
359,0.2676518883415435
360,0.33114395183360695
361,0.46852764094143406
362,0.4001094690749863
363,0.39244663382594414
364,0.3968253968253968
365,0.3661740558292282
366,0.48330596606458676
367,0.40667761357416526
368,0.42911877394636017
369,0.49480021893814996
370,0.17679255610290093
371,0.3530377668308703
372,0.4039408866995074
373,0.3661740558292282
374,0.2692939244663382
375,0.36398467432950193
376,0.4723590585659551
377,0.3968253968253968
378,0.30158730158730157
379,0.29994526546250677
380,0.2523262178434592
381,0.25396825396825395
382,0.3858784893267652
383,0.5670498084291188
384,0.3727422003284072
385,0.28407224958949095
386,0.42309797482211275
387,0.5030103995621237
388,0.4559386973180077
389,0.6223316912972086
390,0.41215106732348106
391,0.41105637657361793
392,0.3973727422003284
393,0.4192665571975917
394,0.47071702244116037
395,0.19485495347564313
396,0.19157088122605362
397,0.539135194307608
398,0.3962780514504652
399,0.41379310344827586
400,0.3229337712096333
401,0.2616310892172961
402,0.4444444444444444
403,0.30706075533661736
404,0.3568691844553913
405,0.25725232621784344
406,0.3711001642036125
407,0.45265462506841814
408,0.29939792008757526
409,0.5205254515599342
410,0.20251778872468526
411,0.1724137931034483
412,0.3995621237000547
413,0.5145046524356869
414,0.3563218390804598
415,0.43185550082101803
416,0.3995621237000547
417,0.19978106185002736
418,0.4006568144499179
419,0.4143404488232074
420,0.19485495347564313
421,0.34099616858237547
422,0.3262178434592227
423,0.48877941981390255
424,0.21674876847290642
425,0.4389709906951286
426,0.3973727422003284
427,0.5139573070607554
428,0.36124794745484395
429,0.4367816091954023
430,0.4822112753147236
431,0.2233169129720854
432,0.5139573070607554
433,0.3344280240831965
434,0.5024630541871921
435,0.5161466885604816
436,0.30870279146141216
437,0.3579638752052545
438,0.4176245210727969
439,0.41160372194854955
440,0.31253420908593316
441,0.32183908045977005
442,0.47454844006568137
443,0.4220032840722496
444,0.4438970990695128
445,0.42145593869731796
446,0.5002736726874657
447,0.13519430760810072
448,0.3574165298303229
449,0.34920634920634924
450,0.4641488779419814
451,0.32129173508483855
452,0.48494800218938144
453,0.42638204707170224
454,0.40996168582375475
455,0.2928297755883963
456,0.5243568691844555
457,0.3727422003284072
458,0.31362889983579634
459,0.4537493158182813
460,0.5960591133004925
461,0.12643678160919541
462,0.40886699507389157
463,0.314176245210728
464,0.44718117131910234
465,0.17296113847837985
466,0.5615763546798029
467,0.33169129720853857
468,0.21674876847290642
469,0.29556650246305416
470,0.17515051997810618
471,0.2824302134646962
472,0.3371647509578544
473,0.35358511220580185
474,0.41707717569786534
475,0.6535303776683087
476,0.22112753147235906
477,0.3185550082101806
478,0.29337712096332785
479,0.4909688013136289
480,0.47837985769020247
481,0.18445539135194308
482,0.3946360153256705
483,0.2654625068418172
484,0.24083196496989598
485,0.3234811165845649
486,0.3382594417077176
487,0.3908045977011494
488,0.3875205254515599
489,0.428024083196497
490,0.4050355774493705
491,0.1713191023535851
492,0.31746031746031744
493,0.39025725232621783
494,0.3399014778325123
495,0.294471811713191
496,0.2802408319649699
497,0.45265462506841814
498,0.4876847290640395
499,0.3147235905856595
500,0.41488779419813904
501,0.5166940339354132
502,0.3442802408319649
503,0.4072249589490969
504,0.38478379857690204
505,0.40229885057471265
506,0.2917350848385331
507,0.3497536945812808
508,0.43021346469622335
509,0.38095238095238093
510,0.4395183360700602
511,0.3393541324575807
512,0.50519978106185
513,0.23590585659551178
514,0.23645320197044337
515,0.3021346469622332
516,0.44718117131910234
517,0.45867542419266555
518,0.3825944170771757
519,0.29556650246305416
520,0.3371647509578544
521,0.37931034482758613
522,0.43021346469622335
523,0.4006568144499179
524,0.25725232621784344
525,0.4012041598248494
526,0.4094143404488232
527,0.25615763546798026
528,0.47454844006568137
529,0.3568691844553913
530,0.33388067870826493
531,0.3185550082101806
532,0.4001094690749863
533,0.28133552271483303
534,0.3519430760810071
535,0.3459222769567597
536,0.3798576902025178
537,0.3295019157088122
538,0.4050355774493705
539,0.5462506841817186
540,0.47454844006568137
541,0.32019704433497537
542,0.4756431308155446
543,0.3448275862068966
544,0.4937055281882868
545,0.5790914066776136
546,0.47947454844006565
547,0.30979748221127534
548,0.19102353585112206
549,0.2824302134646962
550,0.5101258894362343
551,0.41817186644772847
552,0.3973727422003284
553,0.2818828680897646
554,0.3552271483305966
555,0.46195949644225504
556,0.307608100711549
557,0.3661740558292282
