iteration,somat_disease_r,somat_disease_p,somat_mechanism_r,somat_mechanism_p
1,0.15270935960591134,0.19801980198019803,0.29064039408866993,0.07920792079207921
2,0.0722495894909688,0.37623762376237624,0.23043240284619596,0.1782178217821782
3,-0.13136288998357964,0.7722772277227723,0.25725232621784344,0.15841584158415842
4,-0.08866995073891626,0.7524752475247525,0.06130268199233716,0.38613861386138615
5,-0.0005473453749315818,0.5544554455445545,0.31910235358511224,0.10891089108910891
6,0.07991242474001095,0.36633663366336633,0.378215654077723,0.039603960396039604
7,-0.004378762999452655,0.5148514851485149,0.18555008210180626,0.19801980198019803
8,0.061850027367268745,0.37623762376237624,0.17077175697865354,0.2376237623762376
9,0.021893814997263273,0.38613861386138615,0.3234811165845649,0.13861386138613863
10,0.04324028461959496,0.43564356435643564,0.150519978106185,0.26732673267326734
11,0.2769567597153804,0.06930693069306931,0.49589490968801314,0.019801980198019802
12,0.08374384236453201,0.22772277227722773,0.15818281335522713,0.31683168316831684
13,0.0120415982484948,0.48514851485148514,0.2868089764641488,0.13861386138613863
14,0.1423097974822113,0.19801980198019803,0.22769567597153803,0.13861386138613863
15,-0.09250136836343732,0.6831683168316832,0.1444991789819376,0.31683168316831684
16,-0.08538587848932677,0.693069306930693,0.30322933771209637,0.09900990099009901
17,0.03338806787082649,0.44554455445544555,0.3541324575807335,0.06930693069306931
18,0.056376573617952924,0.37623762376237624,0.3130815544608648,0.13861386138613863
19,-0.030103995621236997,0.6138613861386139,0.3251231527093596,0.15841584158415842
20,-0.13738368910782706,0.7227722772277227,0.2928297755883963,0.1782178217821782
21,0.04159824849480022,0.3564356435643564,0.3771209633278598,0.04950495049504951
22,-0.07717569786535304,0.6534653465346535,0.29556650246305416,0.1188118811881188
23,0.056376573617952924,0.37623762376237624,0.26874657909140665,0.13861386138613863
24,-0.11275314723590585,0.6435643564356436,0.058018609742747675,0.3069306930693069
25,0.054187192118226604,0.31683168316831684,0.38149972632731255,0.0594059405940594
26,-0.01532567049808429,0.49504950495049505,0.2961138478379857,0.0891089108910891
27,-0.03667214012041598,0.5544554455445545,0.2889983579638752,0.09900990099009901
28,-0.030103995621236997,0.4752475247524752,0.3519430760810071,0.12871287128712872
29,0.17296113847837985,0.09900990099009901,0.3607006020799124,0.039603960396039604
30,-0.014230979748221127,0.44554455445544555,0.30268199233716475,0.09900990099009901
31,-0.08812260536398467,0.7128712871287128,0.2846195949644226,0.13861386138613863
32,-0.0180623973727422,0.45544554455445546,0.30870279146141216,0.1188118811881188
33,0.05692391899288451,0.39603960396039606,0.3552271483305966,0.0891089108910891
34,-0.07991242474001095,0.6435643564356436,0.28407224958949095,0.19801980198019803
35,-0.0481663929939792,0.6039603960396039,0.18117131910235357,0.22772277227722773
36,-0.04050355774493705,0.5148514851485149,0.38149972632731255,0.13861386138613863
37,-0.046524356869184456,0.5346534653465347,0.32567049808429116,0.1188118811881188
38,-0.0870279146141215,0.5346534653465347,0.1434044882320744,0.2871287128712871
39,0.09140667761357417,0.3465346534653465,0.3355227148330596,0.10891089108910891
40,0.1291735084838533,0.27722772277227725,0.43349753694581283,0.039603960396039604
41,0.11001642036124794,0.19801980198019803,0.32074438970990693,0.06930693069306931
42,0.0717022441160372,0.3465346534653465,0.33169129720853857,0.13861386138613863
43,0.10673234811165844,0.31683168316831684,0.25013683634373285,0.15841584158415842
44,-0.0810071154898741,0.693069306930693,0.21893814997263272,0.18811881188118812
45,0.050355774493705534,0.43564356435643564,0.4176245210727969,0.0594059405940594
46,-0.12643678160919541,0.7524752475247525,0.14559386973180075,0.31683168316831684
47,0.021346469622331693,0.504950495049505,0.28407224958949095,0.1188118811881188
48,-0.11713191023535852,0.6732673267326733,0.06403940886699507,0.44554455445544555
49,-0.11384783798576902,0.6633663366336634,0.27805145046524354,0.21782178217821782
50,-0.09523809523809523,0.6237623762376238,0.1231527093596059,0.3069306930693069
51,-0.09195402298850575,0.6831683168316832,0.2928297755883963,0.13861386138613863
52,0.12370005473453749,0.24752475247524752,0.33114395183360695,0.04950495049504951
53,-0.14997263273125339,0.7524752475247525,0.13355227148330595,0.3069306930693069
54,-0.11548987411056376,0.801980198019802,0.2370005473453749,0.2079207920792079
55,0.03229337712096333,0.40594059405940597,0.29885057471264365,0.06930693069306931
56,-0.18500273672687464,0.8217821782178217,0.09140667761357417,0.43564356435643564
57,-0.025725232621784347,0.49504950495049505,0.11603721948549535,0.2871287128712871
58,0.05473453749315818,0.4158415841584158,0.31198686371100165,0.0594059405940594
59,-0.07608100711548987,0.6831683168316832,0.1417624521072797,0.2079207920792079
60,-0.1472359058565955,0.801980198019802,0.21893814997263272,0.13861386138613863
61,0.04926108374384236,0.3564356435643564,0.2260536398467433,0.16831683168316833
62,-0.061850027367268745,0.5742574257425742,0.23590585659551178,0.06930693069306931
63,-0.0870279146141215,0.6831683168316832,0.1839080459770115,0.15841584158415842
64,0.039956212370005476,0.38613861386138615,0.3661740558292282,0.0594059405940594
65,-0.14887794198139023,0.7920792079207921,0.08593322386425835,0.26732673267326734
66,-0.04159824849480022,0.6138613861386139,0.1417624521072797,0.2376237623762376
67,0.09304871373836891,0.3069306930693069,0.27586206896551724,0.13861386138613863
68,-0.05692391899288451,0.5742574257425742,0.050355774493705534,0.38613861386138615
69,0.062397372742200335,0.33663366336633666,0.24521072796934865,0.10891089108910891
70,-0.07060755336617405,0.6237623762376238,0.2857142857142857,0.21782178217821782
71,0.08155446086480568,0.3069306930693069,0.39792008757526,0.0594059405940594
72,-0.16803503010399565,0.8217821782178217,0.1981390257252326,0.22772277227722773
73,0.05309250136836344,0.37623762376237624,0.26053639846743293,0.13861386138613863
74,-0.13136288998357964,0.7821782178217822,0.12151067323481116,0.25742574257425743
75,0.06732348111658455,0.26732673267326734,0.37055281882868085,0.10891089108910891
76,0.0016420361247947454,0.5148514851485149,0.2260536398467433,0.1782178217821782
77,0.06841817186644773,0.26732673267326734,0.3240284619594964,0.09900990099009901
78,-0.019704433497536946,0.49504950495049505,0.2430213464696223,0.1485148514851485
79,0.013136288998357963,0.42574257425742573,0.20142309797482214,0.297029702970297
80,0.03667214012041598,0.36633663366336633,0.1423097974822113,0.19801980198019803
81,-0.16037219485495346,0.7524752475247525,0.025725232621784347,0.38613861386138615
82,0.07279693486590037,0.31683168316831684,0.19978106185002736,0.1782178217821782
83,-0.08045977011494251,0.6237623762376238,0.2348111658456486,0.22772277227722773
84,-0.06896551724137931,0.6534653465346535,0.11056376573617953,0.3069306930693069
85,-0.01751505199781062,0.46534653465346537,0.3295019157088122,0.1188118811881188
86,-0.13738368910782706,0.7128712871287128,0.2370005473453749,0.16831683168316833
87,0.08921729611384782,0.32673267326732675,0.34920634920634924,0.06930693069306931
88,0.16310892172961136,0.22772277227722773,0.34865900383141757,0.039603960396039604
89,0.15161466885604818,0.24752475247524752,0.21620142309797483,0.22772277227722773
90,0.0016420361247947454,0.46534653465346537,0.32074438970990693,0.0891089108910891
91,0.008210180623973728,0.4752475247524752,0.3513957307060755,0.12871287128712872
92,0.016420361247947456,0.4752475247524752,0.3968253968253968,0.0297029702970297
93,0.00930487137383689,0.44554455445544555,0.270935960591133,0.1485148514851485
94,-0.07389162561576354,0.6138613861386139,0.1231527093596059,0.2871287128712871
95,-0.010399562123700055,0.45544554455445546,0.3185550082101806,0.12871287128712872
96,-0.06349206349206349,0.7128712871287128,0.18773946360153257,0.22772277227722773
97,-0.03393541324575808,0.5841584158415841,0.19978106185002736,0.27722772277227725
98,0.0120415982484948,0.42574257425742573,0.18336070060207993,0.27722772277227725
99,-0.02955665024630542,0.48514851485148514,0.14559386973180075,0.297029702970297
100,0.03284072249589491,0.42574257425742573,0.3322386425834702,0.0891089108910891
101,-0.01532567049808429,0.43564356435643564,0.1384783798576902,0.36633663366336633
102,0.14066776135741652,0.19801980198019803,0.38314176245210724,0.0594059405940594
103,-0.06568144499178982,0.5742574257425742,0.18555008210180626,0.22772277227722773
104,0.01751505199781062,0.37623762376237624,0.3196496989600438,0.10891089108910891
105,0.03229337712096333,0.3069306930693069,0.2320744389709907,0.16831683168316833
106,-0.00930487137383689,0.5148514851485149,0.15325670498084293,0.24752475247524752
107,-0.010946907498631636,0.46534653465346537,0.19321291735084836,0.10891089108910891
108,-0.10727969348659004,0.7722772277227723,0.2818828680897646,0.0891089108910891
109,-0.010399562123700055,0.5247524752475248,0.27805145046524354,0.19801980198019803
110,-0.15161466885604818,0.8118811881188119,0.19047619047619047,0.3069306930693069
111,0.031198686371100168,0.33663366336633666,0.26327312534209085,0.039603960396039604
112,0.07115489874110564,0.3069306930693069,0.26491516146688554,0.12871287128712872
113,-0.06951286261631089,0.6732673267326733,0.18719211822660098,0.2376237623762376
114,-0.0717022441160372,0.6633663366336634,0.3185550082101806,0.13861386138613863
115,-0.12753147235905857,0.7425742574257426,0.02463054187192118,0.44554455445544555
116,-0.1893814997263273,0.7623762376237624,0.13081554460864805,0.32673267326732675
117,-0.09578544061302681,0.7227722772277227,0.29939792008757526,0.10891089108910891
118,0.1330049261083744,0.16831683168316833,0.2829775588396278,0.19801980198019803
119,0.06458675424192666,0.33663366336633666,0.21018062397372742,0.18811881188118812
120,-0.03557744937055282,0.5148514851485149,0.19157088122605362,0.2871287128712871
121,0.11932129173508485,0.26732673267326734,0.4395183360700602,0.009900990099009901
122,-0.23645320197044337,0.8910891089108911,-0.027914614121510674,0.5346534653465347
123,-0.11384783798576902,0.7623762376237624,0.1417624521072797,0.2376237623762376
124,0.06130268199233716,0.26732673267326734,0.30322933771209637,0.0594059405940594
125,-0.054187192118226604,0.6237623762376238,0.17515051997810618,0.25742574257425743
126,0.00875752599890531,0.37623762376237624,0.3295019157088122,0.09900990099009901
127,-0.09688013136288998,0.6732673267326733,0.22714833059660647,0.26732673267326734
128,-0.06075533661740558,0.5841584158415841,0.2983032293377121,0.15841584158415842
129,0.02736726874657909,0.40594059405940597,0.21620142309797483,0.09900990099009901
130,0.0782703886152162,0.3465346534653465,0.35851122058018614,0.10891089108910891
131,-0.04926108374384236,0.5346534653465347,0.2282430213464696,0.19801980198019803
